developer_name,english_name,common_aliases,projects_total,projects_completed,projects_active,total_units,avg_completion_percent,completion_rate
مجمع اعمال مركز دبى للسلع المتعدده م.د.م.س,DMCC,"DMCC Business Park",1,1,0,418,100.0,100.0
داماك سي اس ال للاستثمار ش.ذ.م.م,DAMAC,"Damac CSL",1,0,1,414,13.0,0.0
دبي الجنوب للعقارات دي دبليو سي ش.ذ.م.م,Dubai South Properties,"Dubai South,DWC",4,1,3,305,25.0,25.0
شركة أبواب العقارية المحدودة (ش.ذ.م.م),Abwab Real Estate,"Abwab Properties",3,3,0,302,100.0,100.0
بي دي أل أم ريزيدينشال ذ.م.م,Palma Holding,"PDLM Residential,Palma",1,1,0,284,100.0,100.0
مشاريع وسط دبي ش.ذ.م.م,Emaar,"Downtown Dubai",1,1,0,269,100.0,100.0
الشركة الخليجية للاستثمارات العامة (ش.م.ع),Gulf General Investments,"GGICO,Gulf General",2,2,0,252,100.0,100.0
دبي بينينسولا ش.ذ.م.م,Select Group,"Dubai Peninsula,Peninsula",5,0,5,251,0.0,0.0
ام ايه اس للتطوير العقاري ش.ذ.م.م,MAS Real Estate,"MAS Development",1,0,1,242,7.0,0.0
اوريون للتطوير العقاري ش.ذ.م.م,Orion Real Estate,"Orion Development",1,1,0,196,100.0,100.0
مراس باي أند ريزيدنس ش.ذ.م.م,Meraas,"Meraas Bay",2,2,0,181,100.0,100.0
إستثمار العقارية منطقة حرة ذ.م.م,Istithmar,"Istithmar Real Estate",1,1,0,164,100.0,100.0
جيرسي للتطوير العقاري ش.ذ.م.م,Gemini,"Jersey Development,Gemini Developers",1,1,0,146,100.0,100.0
مدينه دبى الصناعيه ش ذ م م,Dubai Industrial City,"DIC,Dubai Industrial",4,3,1,138,75.0,75.0
بي جي هوتيل ريزيدينشال ش.ذ.م.م,Emaar,"BG Hotel Residential",1,1,0,65,100.0,100.0
جميرا باي ش.ذ.م.م,Meraas,"Jumeirah Bay",2,1,1,31,61.5,50.0
